gene_id	log2FC_pop2ccr4_hl	log2FC_dcp2_hl
YCL009C	0.38915640370626126	-0.27162095548829496
YCL010C	-0.6393219430412261	0.3841334556644432
YCL011C	0.5268982446153806	0.17443423073746767
YCL012C	0.17626366980859218	0.47552264819528317
YCL014W	1.0642132184321182	0.08124842068238304
YCL016C	0.28548911867554655	0.20404139805683125
YCL017C	0.06643521054738123	0.3925846451178908
YCL021W-A	1.281764686411946	-0.6465442288670497
YCL024W	0.08337816275405036	0.14754653749261915
YCL025C	0.3502300025905089	0.18887309247088252
YCL026C-B	0.3551294554893867	-0.08227638678733945
YCL027W	0.680734982995202	0.6984000431703371
YCL028W	0.5228454388460364	0.1391992675757419
YCL029C	1.3483540947532995	0.33146640656961823
YCL030C	0.8366422081582476	0.11260624452467202
YCL031C	0.48506226013110787	0.5560550986260413
YCL032W	0.8772006551027798	-0.2509313132455709
YCL033C	0.5273625893027115	-0.38344949811038576
YCL034W	1.4600707363896963	0.3018567600746296
YCL035C	0.283148356311664	0.05691661358507586
YCL036W	0.9854822577932322	0.40282815955859663
YCL037C	0.26369670464323336	0.7552258273404898
YCL038C	-0.16525388262483354	0.8197399684411903
YCL039W	4.520630785908503	-0.036863085385708615
YCL040W	0.32225470160565933	-0.020674457897985193
YCL043C	0.564553589642641	0.008424434635021745
YCL044C	1.3233880212938973	0.08885380062199642
YCL045C	0.20879413425255738	0.37591770312568223
YCL047C	0.9069521902732021	0.5779317157411398
YCL048W	0.6986390893565311	0.9258082216513778
YCL049C	0.9339609696169692	-0.20498937285677105
YCL050C	0.374425862581486	0.16069220776930845
YCL051W	0.5251571999598967	-0.11367680099313826
YCL052C	0.7465428362250177	0.6325323140259027
YCL054W	0.6847155198166657	0.26737940239959285
YCL055W	0.36347339167260934	0.546202591016944
YCL056C	0.2816044107037429	0.2103403573791754
YCL057C-A	0.5030085655520946	0.31540401715021565
YCL057W	0.6105009269254931	0.11677696669891856
YCL058W-A	0.33426936704666105	0.4108157247049293
YCL059C	0.37660386782050964	0.4638047032927639
YCL061C	0.246923654445002	0.36464721403925165
YCL063W	0.12058119523335716	0.14234550753684244
YCL064C	0.5799846128562236	0.5819302676360577
YCR002C	0.42083513658210503	8.971732994388614e-4
YCR003W	0.06587871253550334	-0.12009977950014797
YCR004C	0.24845677150723192	-0.030443131363113576
YCR005C	0.21911398461216655	0.319547329731864
YCR006C	-0.2129402748597313	0.1937197598879567
YCR007C	1.6466469898415443	-0.404631698329206
YCR008W	0.22378417169478249	0.5179240677147218
YCR009C	0.0946256768024924	0.3527240616388892
YCR011C	0.2741521954385577	0.17121293135576746
YCR012W	0.5646164318464325	-0.05848102631428236
YCR014C	-0.9814989815872389	-0.30171037933719
YCR015C	0.5323254973383774	0.07167964621115987
YCR016W	0.11514451766299803	0.4110280770924828
YCR017C	0.23954434551354037	0.18151929939236858
YCR019W	0.5504805054243461	0.4640619145715086
YCR020C	0.0921444281007955	0.24656160520122608
YCR020C-A	0.27379775091855807	-0.0988730560767336
YCR020W-B	0.3050987470009077	0.7526638695917329
YCR021C	-0.027732856499694158	-4.625311272780828
YCR022C	2.632980285240579	0.7559924495608963
YCR023C	0.5742499901565795	0.4612750842656829
YCR024C	0.0979529708686144	-0.2592081895152318
YCR024C-A	0.6231073804944589	0.10236520385126198
YCR024C-B	0.658185945655521	0.09997808469996569
YCR025C	1.733853315807899	-0.6779246514045855
YCR026C	0.6084269936121546	-0.042797791784576676
YCR027C	0.4869024944116287	0.3081807719493671
YCR028C	0.2672855707740236	0.39827005804102517
YCR028C-A	0.48700106967693746	0.14424042027867096
YCR030C	0.5092742577397721	0.2958266922061004
YCR031C	0.6584523808477328	-0.26886156505898734
YCR032W	0.31499438975167326	0.0818296059766752
YCR033W	1.0574632716452022	0.0024806764042875876
YCR034W	0.48260941831997217	0.12184937099824743
YCR035C	0.6775933465159156	-0.011665120335249218
YCR036W	0.6428878461757523	0.030849048391899676
YCR037C	0.4997210113718524	0.24929994445581702
YCR038C	0.9671626798583515	0.6145348209137791
YCR042C	0.03276609971348296	0.26178585897132944
YCR043C	0.15831668242049313	0.13194610968743356
YCR044C	0.3687421711947646	0.32859492515890093
YCR046C	0.3875757373020934	0.10937624976393527
YCR047C	0.43938425410327697	0.5409467582199653
YCR048W	1.1561734480857901	0.14594826186462798
YCR051W	0.163339925723219	0.02589994853655337
YCR052W	0.16504299229649522	0.29246369835568864
YCR053W	0.308804493807664	0.3002820697519847
YCR054C	-0.7119047814835759	-0.29789939060421394
YCR057C	0.17532336528107142	0.7017148152809933
YCR059C	0.2703015286492618	0.38724821411152516
YCR060W	0.28939511102439375	0.16892902810035845
YCR061W	0.9272024419213435	0.1453429759595248
YCR063W	0.8935181162249061	0.24891303395414985
YCR065W	3.1811353240142295	0.5513480998109295
YCR066W	0.2911051754314968	-0.32536524345828777
YCR067C	0.23956850337525926	0.3002497081216215
YCR068W	-0.1914975986292266	NA
YCR069W	0.5407309246909953	0.32494457269567806
YCR071C	0.38340064442504285	0.5806564697338217
YCR072C	0.7294960908039206	0.49261625282464033
YCR073C	0.6151228138374438	-0.013992011897843435
YCR073W-A	0.7145185325127417	0.022451342153529102
YCR075C	0.5002989230743592	-0.9223720632444455
YCR075W-A	0.572683619496877	0.4219659211460861
YCR076C	0.5098684804335876	0.4971978567930167
YCR077C	0.3222336796286795	0.3228233427171517
YCR079W	-1.488243695402102	-0.6826860065009794
